IsDog	Age	HasName	NameLength	NameFreq	MixColor	ColorFreqAsIs	ColorFreqBase	TabbyColor	MixBreed	Domestic	Shorthair	Longhair	Year	Month	Day	Hour	Breed_Chihuahua Shorthair Mix	Breed_Domestic Medium Hair Mix	Breed_Domestic Shorthair Mix	Breed_German Shepherd Mix	Breed_Labrador Retriever Mix	Breed_Pit Bull Mix	Breed_Rare	Sex_Female	Sex_Male	Sex_Unknown	SexStatus_Flawed	SexStatus_Intact	SexStatus_Unknown	Weekday_0	Weekday_1	Weekday_2	Weekday_3	Weekday_4	Weekday_5	Weekday_6	target
1	365.0	1	7	0.0001571297629959	1	0.0329186853476496	0.4636243044429514	0	1	0	0	0	2014	2	12	14.366666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	Return_to_owner
0	365.0	1	5	0.0006547073458164	0	0.0080921827942909	0.0150050820886522	1	1	1	1	0	2013	10	13	8.733333333333333	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	Euthanasia
1	730.0	1	6	5.23765876653136e-05	1	0.0262930470079874	0.3575206298344445	0	1	0	0	0	2015	1	31	9.466666666666669	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	Adoption
0	21.0	0	7	0.2858714154772817	0	0.0004713892889878	0.0584181783726979	0	1	1	1	0	2014	7	11	15.15	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	Transfer
1	730.0	0	7	0.2858714154772817	0	0.0238313473877176	0.0753527314073078	0	0	0	0	0	2013	11	15	8.866666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	Transfer
1	30.0	1	4	0.0004713892889878	1	0.0258216577189996	0.2746222888349096	0	0	0	1	0	2014	4	25	9.066666666666666	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	Transfer
0	21.0	1	5	0.0004975775828204	0	0.0161319890009165	0.0584181783726979	1	1	1	1	0	2015	3	28	10.183333333333334	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	Transfer
0	21.0	0	7	0.2858714154772817	0	0.0617781851512374	0.1645218529812049	1	1	1	1	0	2015	4	30	14.033333333333331	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	Transfer
1	150.0	1	4	0.00335210161058	1	0.0123346863951813	0.3231691560287353	0	1	0	0	0	2014	2	4	13.283333333333331	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	Adoption
1	365.0	0	7	0.2858714154772817	0	0.0349089956789315	0.2991024514617465	0	0	0	0	0	2014	5	3	3.8	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	Adoption
0	730.0	0	7	0.2858714154772817	0	0.0855047793636244	0.1992695574276017	0	1	1	1	0	2013	12	5	11.833333333333334	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	Transfer
1	730.0	0	7	0.2858714154772817	0	0.0006023307581511	0.003032025772219	0	1	0	0	0	2013	11	4	10.8	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	Adoption
1	1460.0	1	6	0.0002880712321592	0	0.0234385229802278	0.1645218529812049	0	1	0	0	0	2016	2	3	8.45	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	Adoption
