	IsDog	Age	HasName	NameLength	NameFreq	MixColor	ColorFreqAsIs	ColorFreqBase	TabbyColor	MixBreed	Domestic	Shorthair	Longhair	Year	Month	Day	Hour	Breed_Chihuahua Shorthair Mix	Breed_Domestic Medium Hair Mix	Breed_Domestic Shorthair Mix	Breed_German Shepherd Mix	Breed_Labrador Retriever Mix	Breed_Pit Bull Mix	Breed_Rare	Sex_Female	Sex_Male	Sex_Unknown	SexStatus_Flawed	SexStatus_Intact	SexStatus_Unknown	Weekday_0	Weekday_1	Weekday_2	Weekday_3	Weekday_4	Weekday_5	Weekday_6
0	1	365.0	1	7	0.0001571297629959408	1	0.0329186853476496	0.46362430444295144	0	1	0	0	0	2014	2	12	14.366666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
1	0	365.0	1	5	0.00065470734581642	0	0.008092182794290952	0.015005082088652298	1	1	1	1	0	2013	10	13	8.733333333333333	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
2	1	730.0	1	6	5.23765876653136e-05	1	0.02629304700798743	0.3575206298344445	0	1	0	0	0	2015	1	31	9.466666666666667	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0
3	0	21.0	0	7	0.2858714154772817	0	0.00047138928898782245	0.058418178372697985	0	1	1	1	0	2014	7	11	15.15	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
4	1	730.0	0	7	0.2858714154772817	0	0.02383134738771769	0.07535273140730787	0	0	0	0	0	2013	11	15	8.866666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0
5	1	30.0	1	4	0.00047138928898782245	1	0.025821657718999608	0.27462228883490963	0	0	0	1	0	2014	4	25	9.066666666666666	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0
6	0	21.0	1	5	0.0004975775828204793	0	0.01613198900091659	0.058418178372697985	1	1	1	1	0	2015	3	28	10.183333333333334	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
7	0	21.0	0	7	0.2858714154772817	0	0.0617781851512374	0.1645218529812049	1	1	1	1	0	2015	4	30	14.033333333333333	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
8	1	150.0	1	4	0.0033521016105800706	1	0.012334686395181354	0.32316915602873536	0	1	0	0	0	2014	2	4	13.283333333333333	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0
9	1	365.0	0	7	0.2858714154772817	0	0.03490899567893152	0.2991024514617465	0	0	0	0	0	2014	5	3	3.8	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0
10	0	730.0	0	7	0.2858714154772817	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2013	12	5	11.833333333333334	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
11	1	730.0	0	7	0.2858714154772817	0	0.0006023307581511064	0.0030320257722190637	0	1	0	0	0	2013	11	4	10.8	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
12	1	1460.0	1	6	0.00028807123215922483	0	0.02343852298022784	0.1645218529812049	0	1	0	0	0	2016	2	3	8.45	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0
13	1	730.0	1	7	0.0006023307581511064	1	0.0006285190519837632	0.22333626199459058	0	1	0	0	0	2015	6	8	13.5	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
14	1	365.0	1	7	0.00018331805682859762	1	0.0012308498101348698	0.31410753355039883	0	1	0	0	0	2015	11	25	12.0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
15	0	90.0	1	6	0.0015189210422940946	1	0.016472436820741128	0.3338157010698227	1	1	1	1	0	2014	7	12	8.166666666666666	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
16	0	21.0	0	7	0.2858714154772817	0	0.0617781851512374	0.1645218529812049	1	1	1	1	0	2014	5	3	12.25	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0
17	1	14.0	0	7	0.2858714154772817	1	0.0329186853476496	0.46362430444295144	0	1	0	0	0	2014	6	7	8.9	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0
18	0	730.0	1	7	0.0002095063506612544	0	0.03490899567893152	0.2991024514617465	0	1	0	0	0	2014	5	17	7.533333333333333	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0
19	1	365.0	1	4	0.0001047531753306272	0	0.08550477936362445	0.19926955742760177	0	1	0	0	0	2014	7	30	13.566666666666666	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
20	1	60.0	1	6	2.61882938326568e-05	1	0.10587927196543145	0.4983720088893483	0	1	0	0	0	2014	1	19	11.05	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
21	0	365.0	1	8	0.0001571297629959408	0	0.03490899567893152	0.2991024514617465	0	1	1	1	0	2015	9	18	12.316666666666666	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
22	1	730.0	1	7	2.61882938326568e-05	1	0.017310462223386145	0.46362430444295144	0	0	0	0	0	2015	8	15	11.366666666666667	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0
23	1	300.0	1	7	5.23765876653136e-05	1	0.0329186853476496	0.46362430444295144	0	1	0	0	0	2013	10	28	12.533333333333333	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
24	1	60.0	1	7	0.00018331805682859762	1	0.016341495351577844	0.3637914104088067	0	1	0	0	0	2014	4	9	13.733333333333333	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
25	0	30.0	1	5	0.0008118371088123609	0	0.031085504779363626	0.034713249608076216	1	1	1	1	0	2015	10	3	12.733333333333333	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
26	1	180.0	1	3	5.23765876653136e-05	1	0.008406442320282833	0.3118679690595552	0	1	0	0	0	2016	1	15	14.516666666666667	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0
27	1	1825.0	1	5	0.0015189210422940946	1	0.014586879664789838	0.3744551828690544	0	1	0	1	0	2015	3	25	15.833333333333334	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0
28	0	60.0	1	7	2.61882938326568e-05	1	0.0033782899044127275	0.31410753355039883	1	1	1	1	0	2015	11	21	10.016666666666667	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
29	0	2555.0	1	3	0.0008904019903103313	0	0.017650910043210684	0.058418178372697985	0	1	0	0	0	2015	7	30	11.5	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
30	0	1095.0	0	7	0.2858714154772817	0	0.01859368862118633	0.013816390166589143	0	1	1	1	0	2016	1	1	10.95	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
31	1	120.0	1	6	0.00065470734581642	1	0.10587927196543145	0.4983720088893483	0	1	0	0	0	2015	7	15	12.416666666666666	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
32	0	60.0	0	7	0.2858714154772817	0	0.012413251276679324	0.009767946663910279	0	1	1	1	0	2014	7	3	13.016666666666667	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
33	1	1825.0	1	5	0.00034044781982453846	1	0.012910828859499804	0.3637914104088067	0	0	0	0	0	2013	11	8	9.4	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0
34	1	1095.0	1	7	0.0001047531753306272	0	0.02343852298022784	0.1645218529812049	0	1	0	1	0	2015	4	11	13.016666666666667	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
35	1	1095.0	0	7	0.2858714154772817	0	0.0072017808039806204	0.007166606370699605	0	1	0	0	0	2013	12	6	10.916666666666666	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
36	1	1095.0	1	8	2.61882938326568e-05	1	0.0329186853476496	0.46362430444295144	0	1	0	0	0	2013	10	24	7.366666666666666	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
37	0	60.0	0	7	0.2858714154772817	1	0.02629304700798743	0.3575206298344445	0	1	1	1	0	2014	7	2	9.616666666666667	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
38	0	120.0	1	4	0.00013094146916328402	1	0.10587927196543145	0.4983720088893483	0	1	1	1	0	2015	8	10	21.0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
